problem;set;formula;selected;occurrences
Tc1p;set3;(T1-P1)+(P1+d);FALSE;0
Tc1p;set3;T1-(T1-(P1-d));FALSE;0
Tc1p;set3;T1-(P1-(P1-d));FALSE;0
Tc1p;set3;((T1-d)+d)+P1;FALSE;0
Tc1p;set3;((T1+d)+P1)+T1;FALSE;0
Tc1p;set3;(T1-(P1+d))-d;FALSE;0
Tc1p;set3;((T1+d)-d)-P1;FALSE;0
Tc1p;set3;(T1+d)+(P1+d);FALSE;0
Tc1p;set3;((T1-P1)+d)+P1;FALSE;0
Tc1p;set3;(T1-d)-(P1+d);FALSE;0
Tc1p;set3;(T1+d)-(T1-P1);TRUE;0
Tc1p;set3;P1+((T1-d)-P1);FALSE;0
Tc1p;set3;(T1+P1)-(T1-d);TRUE;0
Tc1p;set3;(P1+d)-(T1-P1);FALSE;0
Tc1p;set3;P1-(T1-(T1-d));TRUE;0
Tc1p;set3;((T1+P1)-d)-P1;TRUE;0
Tc1p;set3;T1+((T1-P1)+d);FALSE;0
Tc1p;set3;((T1-d)+P1)-T1;FALSE;0
Tc1p;set3;d-((T1-P1)-P1);FALSE;0
Tc1p;set3;P1+(T1-(P1+d));FALSE;0
Tc1p;set3;P1-((T1+d)-T1);FALSE;0
Tc1p;set3;((T1+P1)+P1)+d;FALSE;0
Tc1p;set3;(T1+(P1-d))-P1;FALSE;0
Tc1p;set3;((T1+P1)+d)-P1;FALSE;0
Tc1p;set3;T1-((T1-d)-P1);FALSE;0
Tc1p;set3;(T1+(T1-P1))-d;FALSE;0
Tc1p;set3;((T1-P1)-d)-d;TRUE;0
Tc1p;set3;(T1+d)+(P1-d);FALSE;0
Tc1p;set3;((T1+P1)-T1)-d;FALSE;0
Tc1p;set3;((T1+P1)-d)+d;FALSE;0
Tc1p;set3;((T1+P1)-P1)+d;FALSE;0
Tc1p;set3;((T1-d)-d)+P1;FALSE;0
Tc1p;set3;(T1-(P1-d))-P1;FALSE;0
Tc1p;set3;((T1+d)-P1)-d;FALSE;0
Tc1p;set3;T1-(P1+(P1-d));FALSE;0
Tc1p;set3;(T1-d)+(P1+d);FALSE;0
Tc1p;set3;(T1+P1)+(T1+d);FALSE;0
Tc1p;set3;(T1+(P1+d))+T1;FALSE;0
Tc1p;set3;((T1-P1)+P1)+d;FALSE;0
Tc1p;set3;T1+(T1-(P1-d));FALSE;0
Tc1p;set3;T1+((T1-d)-P1);FALSE;0
Tc1p;set3;(T1-P1)-(P1+d);FALSE;0
Tc1p;set3;(T1+d)-(P1-d);FALSE;0
Tc1p;set3;((T1+P1)+d)-d;FALSE;0
Tc1p;set3;((T1+P1)-d)-d;FALSE;0
Tc1p;set3;(P1+d)+(T1-P1);FALSE;0
Tc1p;set3;(T1+(T1-d))+P1;FALSE;0
Tc1p;set3;(T1+(P1-d))-d;FALSE;0
Tc1p;set3;((T1+P1)+d)+P1;FALSE;0
Tc1p;set3;((T1+d)+d)-P1;FALSE;0
Tc1p;set3;((T1+d)+P1)-d;FALSE;0
Tc1p;set3;((T1-d)+d)-P1;FALSE;0
Tc1p;set3;T1-((T1-P1)-d);TRUE;0
Tc1p;set3;((T1+d)+P1)+P1;FALSE;0
Tc1p;set3;((T1+d)+P1)-T1;FALSE;0
Tc1p;set3;(T1+(P1+d))-P1;FALSE;0
Tc1p;set3;T1+((P1-d)+d);FALSE;0
Tc1p;set3;((T1-d)+P1)+P1;FALSE;0
Tc1p;set3;(T1+P1)+(P1-d);FALSE;0
Tc1p;set3;((T1+d)-P1)+d;FALSE;0
Tc1p;set3;((T1+d)+T1)+P1;FALSE;0
Tc1p;set3;(T1+(P1-d))+T1;FALSE;0
Tc1p;set3;(T1+d)-(P1+d);FALSE;0
Tc1p;set3;(T1-(P1-d))+P1;FALSE;0
Tc1p;set3;(T1+(P1+d))-d;FALSE;0
Tc1p;set3;T1-((P1-d)+d);FALSE;0
Tc1p;set3;(T1-(P1-d))-d;FALSE;0
Tc1p;set3;((T1-d)-P1)+d;FALSE;0
Tc1p;set3;P1+((T1+d)-T1);FALSE;0
Tc1p;set3;P1-((T1-P1)-d);FALSE;0
Tc1p;set3;(T1-(T1-P1))+d;FALSE;0
Tc1p;set3;((T1+d)-P1)-P1;FALSE;0
Tc2t;set0;T1+d;TRUE;10
Tc2t;set0;T1+P1;TRUE;0
Tc2t;set0;P1-d;TRUE;5
Tc2t;set0;T1-P1;FALSE;0
Tc2t;set0;P1+d;TRUE;2
Tc2t;set1;T1+(P1+d);TRUE;0
Tc2t;set1;(T1+d)+P1;FALSE;0
Tc2t;set1;(T1+P1)-d;TRUE;8
Tc2t;set1;T1-(P1-d);TRUE;5
Tc2t;set1;(T1+d)-P1;FALSE;0
Tc2t;set1;(T1-P1)-d;TRUE;23
Tc2t;set1;(T1-P1)+d;TRUE;13
Tc2t;set1;(T1-d)+P1;FALSE;0
Tc2t;set1;T1+(P1-d);TRUE;5
Tc2t;set1;(T1+P1)+d;TRUE;1
Tc2t;set1;(T1-d)-P1;FALSE;0
Tc2t;set1;T1-(P1+d);TRUE;0
Tc2t;set2;T1+(T1-d);FALSE;0
Tc2t;set2;P1+(P1-d);TRUE;0
Tc2t;set2;(T1-d)-d;FALSE;0
Tc2t;set2;(P1-d)+d;TRUE;0
Tc2t;set2;(T1+d)-d;FALSE;0
Tc2t;set2;T1-(T1-d);FALSE;0
Tc2t;set2;(T1+P1)-P1;FALSE;0
Tc2t;set2;(T1+P1)-T1;FALSE;0
Tc2t;set2;(T1+P1)+T1;FALSE;0
Tc2t;set2;(P1-d)-d;FALSE;0
Tc2t;set2;(T1+P1)+P1;FALSE;0
Tc2t;set2;T1-(T1-P1);FALSE;0
Tc2t;set2;(T1-P1)-P1;FALSE;0
Tc2t;set2;(T1-P1)+P1;TRUE;0
Tc2t;set2;(T1+d)+d;FALSE;0
Tc2t;set2;(P1+d)+P1;TRUE;0
Tc2t;set2;(T1+d)-T1;FALSE;0
Tc2t;set2;P1-(P1-d);TRUE;0
Tc2t;set2;(P1+d)-P1;TRUE;0
Tc2t;set2;(T1-d)+d;FALSE;0
Tc2t;set2;(P1+d)+d;FALSE;0
Tc2t;set2;T1+(T1-P1);FALSE;0
Tc2t;set2;(P1+d)-d;FALSE;0
Tc2t;set2;(T1+d)+T1;FALSE;0
Tc2t;set3;(T1+d)+(T1-P1);FALSE;0
Tc2t;set3;((T1-d)+P1)+d;FALSE;0
Tc2t;set3;T1-((P1+d)-d);FALSE;0
Tc2t;set3;T1+((P1+d)-P1);FALSE;0
Tc2t;set3;(T1+P1)-(P1-d);TRUE;0
Tc2t;set3;T1-((P1+d)-P1);FALSE;0
Tc2t;set3;(T1+(T1-P1))+d;FALSE;0
Tc2t;set3;((T1+P1)-d)-d;FALSE;0
Tc2t;set3;(T1-d)+(T1-P1);FALSE;0
Tc2t;set3;T1+((T1+d)-P1);FALSE;0
Tc2t;set3;((T1-d)-P1)+P1;FALSE;0
Tc2t;set3;((T1+P1)+T1)-d;FALSE;0
Tc2t;set3;T1+(P1+(P1-d));FALSE;0
Tc2t;set3;((T1+d)+P1)+d;FALSE;0
Tc2t;set3;T1+((P1+d)+d);FALSE;0
Tc2t;set3;T1-((P1+d)+P1);FALSE;0
Tc2t;set3;(T1+P1)+(T1-d);FALSE;0
Tc2t;set3;T1+((P1+d)-d);FALSE;0
Tc2t;set3;(T1+P1)-(T1+d);FALSE;0
Tc2t;set3;((T1-P1)+d)-d;FALSE;0
Tc2t;set3;(T1-(P1+d))+P1;FALSE;0
Tc2t;set3;((T1-P1)+P1)-d;TRUE;0
Tc2t;set3;P1+(T1-(T1-d));FALSE;0
Tc2t;set3;(T1+P1)+(P1+d);FALSE;0
Tc2t;set3;((T1+P1)+d)+d;FALSE;0
Tc2t;set3;(T1-(P1-d))+d;FALSE;0
Tc2t;set3;(T1+(P1-d))-T1;FALSE;0
Tc2t;set3;T1+((P1+d)+P1);FALSE;0
Tc2t;set3;((T1+d)+d)-P1;FALSE;0
Tc2t;set3;((T1-d)+P1)-P1;FALSE;0
Tc2t;set3;((T1-d)-P1)-d;FALSE;0
Tc2t;set3;T1+(P1-(P1-d));FALSE;0
Tc2t;set3;(T1-d)-(P1-d);FALSE;0
Tc2t;set3;T1+((P1-d)-d);FALSE;0
Tc2t;set3;(T1-P1)-(P1-d);FALSE;0
Tc2t;set3;((T1-P1)-d)-P1;FALSE;0
Tc2t;set3;T1-((P1+d)+d);FALSE;0
Tc2t;set3;((T1+d)+T1)-P1;FALSE;0
Tc2t;set3;((T1+P1)-T1)+d;FALSE;0
Tc2t;set3;(T1+(P1+d))+P1;FALSE;0
Tc2t;set3;(T1+(P1+d))-T1;FALSE;0
Tc2t;set3;T1+(T1-(P1+d));FALSE;0
Tc2t;set3;((T1-P1)+d)-P1;FALSE;0
Tc2t;set3;((T1+P1)+T1)+d;FALSE;0
Tc2t;set3;((T1+d)+d)+P1;FALSE;0
Tc2t;set3;(T1-(P1+d))+d;FALSE;0
Tc2t;set3;((T1+d)-d)+P1;FALSE;0
Tc2t;set3;((T1-d)+P1)-d;FALSE;0
Tc2t;set3;(T1+P1)-(P1+d);TRUE;0
Tc2t;set3;((T1+P1)+P1)-d;FALSE;0
Tc2t;set3;T1+((T1-P1)-d);TRUE;1
Tc2t;set3;(T1+(P1+d))+d;FALSE;0
Tc2t;set3;((T1-d)-d)-P1;FALSE;0
Tc2t;set3;((T1+P1)-P1)-d;FALSE;0
Tc2t;set3;(T1-(P1+d))-P1;FALSE;0
Tc2t;set3;T1-((T1-P1)+d);TRUE;0
Tc2t;set3;T1-(T1-(P1+d));FALSE;0
Tc2t;set3;((T1+P1)+d)+T1;FALSE;0
Tc2t;set3;((T1+P1)-d)+T1;FALSE;0
Tc2t;set3;(T1+(P1-d))+P1;FALSE;0
